Product Name,Launch Date(s),Product Hunt URL,Official Website,Founder Name(s),Founder Evidence Type,Contact Email(s),Founder Source Links,Email Source Links,Notes
Juno,2026-6-18,https://www.producthunt.com/products/juno-16,https://usejuno.co,Ishita Srivastava; Paresh Dudhat; Jas,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/juno-16,https://usejuno.co,No qualifying public business/contact email was found on the crawled official-site pages.
SerpApi for AI Apps and Agents,2026-6-18,https://www.producthunt.com/products/serpapi,https://serpapi.com,Milos Durdevic,Official website founder-role or founded-by evidence,contact@serpapi.com,https://serpapi.com; https://www.producthunt.com/products/serpapi,https://serpapi.com/team,
Buddy Figma Agent,2026-6-18,https://www.producthunt.com/products/buddy-free-figma-agent,https://www.figma.com/community/plugin/1616481120325792817/buddy-figma-design-agent-ux-ai-co-pilot-ux-assistant-ai-chat-god-mode-wireframe-generator,Ognjen Krackovic; Moez Bouaggad; Michal Cohen,Product Hunt public launch-team/maker names; founder title not independently verified,press@figma.com; support-share@figma.com; divashchuk@figma.com; d1b12a8fbe424e4b956eb33cadd5b30d@errors.figma.com,https://www.producthunt.com/products/buddy-free-figma-agent,https://www.figma.com/contact/; https://help.figma.com/hc/en-us,
Adapt,2026-6-18,https://www.producthunt.com/products/adapt-3,https://adapt.com,Karthika Shankar; Jim Benton; Sean Smith; John Andrew Entwistle; Jonathan Nahin,Official website founder-role or founded-by evidence,support@adapt.com,https://adapt.com; https://www.producthunt.com/products/adapt-3,https://adapt.com/company; https://adapt.com/support,
Otty,2026-6-18,https://www.producthunt.com/products/otty,https://otty.sh,Abner Lee,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/otty,https://otty.sh,No qualifying public business/contact email was found on the crawled official-site pages.
Ploy.ai,2026-6-18,https://www.producthunt.com/products/ploy-ai,https://ploy.ai,By Corey Haines; Corey Haines,Official website founder-role or founded-by evidence,,https://ploy.ai; https://www.producthunt.com/products/ploy-ai,https://ploy.ai/contact,No qualifying public business/contact email was found on the crawled official-site pages.
Snapp AI,2026-6-18,https://www.producthunt.com/products/snapp-ai,https://snappai.co,Kevin William David; Berkay Özcan; Savas Kalkan,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/snapp-ai,https://snappai.co/contact,No qualifying public business/contact email was found on the crawled official-site pages.
LayerProof Bristol,2026-6-18; 2026-7-20; 2026-8-18,https://www.producthunt.com/products/layerproof-social-content-generation,https://layerproof.app/matte?utm_source=producthunt&utm_medium=organic&utm_campaign=matte3launch,dai nguyen; Tracy Huynh; Jordyn Nguyen,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/layerproof-social-content-generation,https://layerproof.app/contact; https://layerproof.app/about; https://layerproof.app/about-us; https://layerproof.app/team; https://layerproof.app/company; https://layerproof.app/support; https://layerproof.app/help; https://layerproof.app/about-us/,No qualifying public business/contact email was found on the crawled official-site pages.
Claude Code Artifacts,2026-6-19,https://www.producthunt.com/products/claude-redesigned,https://claude.com/blog/claude-code-desktop-redesign,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/claude-redesigned,https://claude.com/contact-sales; https://claude.com/solutions/customer-support,No qualifying public business/contact email was found on the crawled official-site pages.
Zernio WhatsApp API,2026-6-19,https://www.producthunt.com/products/zernio,https://zernio.com,Razvan Ghetiu; Dev Singh; Giles Design Miki Palet,Official website founder-role or founded-by evidence,support@zernio.com; miki@zernio.com,https://zernio.com; https://www.producthunt.com/products/zernio,https://zernio.com/about; https://zernio.com/support,
Midjourney Scanner,2026-6-19,https://www.producthunt.com/products/midjourney,https://www.midjourney.com,David Holz; Andrew,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/midjourney,https://www.midjourney.com,No qualifying public business/contact email was found on the crawled official-site pages.
API to MCP,2026-6-19,https://www.producthunt.com/products/api-to-mcp,https://apitomcp.ai,AKuDanh,Product Hunt public launch-team/maker names; founder title not independently verified,contact@apitomcp.ai; support@apitomcp.ai,https://www.producthunt.com/products/api-to-mcp,https://apitomcp.ai/contact; https://apitomcp.ai/about,
Firecrawl Research Index,2026-6-19; 2026-7-24; 2026-8-7,https://www.producthunt.com/products/extract-by-firecrawl,https://www.firecrawl.dev,Postman Matt McClure,Official website founder-role or founded-by evidence,help@firecrawl.com,https://www.firecrawl.dev; https://www.producthunt.com/products/extract-by-firecrawl,https://www.firecrawl.dev/about; https://www.firecrawl.dev/support,Email domain differs from the Product Hunt-listed site domain; verify parent-company relationship.
frontpage.sh,2026-6-19,https://www.producthunt.com/products/frontpage-sh-8-squares-forever-for-sale,https://frontpage.sh,Santiago Zavala,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/frontpage-sh-8-squares-forever-for-sale,https://www.frontpage.sh/about; https://www.frontpage.sh/support,No qualifying public business/contact email was found on the crawled official-site pages.
Unreal Engine 5.8,2026-6-19,https://www.producthunt.com/products/unreal-engine,https://www.unrealengine.com,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/unreal-engine,https://www.unrealengine.com,No qualifying public business/contact email was found on the crawled official-site pages.
just f***ing send it,2026-6-19,https://www.producthunt.com/products/just-f-ing-send-it,https://jfsendit.com,Yiğitcan Kutay Güler,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/just-f-ing-send-it,https://jfsendit.com/contact; https://jfsendit.com/contact-us; https://jfsendit.com/about; https://jfsendit.com/about-us; https://jfsendit.com/team; https://jfsendit.com/company; https://jfsendit.com/support; https://jfsendit.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
Capsule,2026-6-19,https://www.producthunt.com/products/capsule-15,,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/capsule-15,,No official website URL was present in the Product Hunt metadata. No qualifying public business/contact email was found on the crawled official-site pages.
Ask Ad Manager by Google Ads,2026-6-19,https://www.producthunt.com/products/ask-ad-manager,https://blog.google/products/admanager/ask-ad-manager,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,press@google.com,https://www.producthunt.com/products/ask-ad-manager,https://blog.google/about/,Email domain differs from the Product Hunt-listed site domain; verify parent-company relationship.
Blazly Backlinker,2026-6-19,https://www.producthunt.com/products/blazly-backlinker,https://www.blazly.ai/products/backlinks,Jerryton; Srijita Baidya,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/blazly-backlinker,https://www.blazly.ai/contact,No qualifying public business/contact email was found on the crawled official-site pages.
Linking Your AI,2026-6-19,https://www.producthunt.com/products/linking-your-ai,,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/linking-your-ai,,No official website URL was present in the Product Hunt metadata. No qualifying public business/contact email was found on the crawled official-site pages.
QuackScreen,2026-6-19,https://www.producthunt.com/products/quackscreen,https://quackscreen.com,Nedim,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/quackscreen,https://quackscreen.com/contact; https://quackscreen.com/contact-us; https://quackscreen.com/about; https://quackscreen.com/about-us; https://quackscreen.com/team; https://quackscreen.com/company; https://quackscreen.com/support; https://quackscreen.com/help; https://public.quackscreen.com/support,No qualifying public business/contact email was found on the crawled official-site pages.
Foglamp,2026-6-19,https://www.producthunt.com/products/foglamp,https://www.foglamp.dev,Gustavo Fior,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/foglamp,https://www.foglamp.dev,No qualifying public business/contact email was found on the crawled official-site pages.
Darkmoon,2026-6-19,https://www.producthunt.com/products/darkmoon,https://dark-moon.org,Mehdi Boutayeb,Product Hunt public launch-team/maker names; founder title not independently verified,billing@asc-it.fr; contact@asc-it.fr; support@asc-it.fr,https://www.producthunt.com/products/darkmoon,https://dark-moon.org/contact/,Email domain differs from the Product Hunt-listed site domain; verify parent-company relationship.
Screen Ruler,2026-6-19,https://www.producthunt.com/products/screen-ruler,https://www.screen-ruler.com,Myster Violets,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/screen-ruler,https://www.screen-ruler.com,No qualifying public business/contact email was found on the crawled official-site pages.
MeshPilot,2026-6-19,https://www.producthunt.com/products/meshpilot,https://meshpilot.in,Jenesh Patel; Chandigarh; India,Official website founder-role or founded-by evidence,hello@meshpilot.in; security@meshpilot.in; support@meshpilot.in,https://meshpilot.in; https://www.producthunt.com/products/meshpilot,https://meshpilot.in/about; https://meshpilot.in/support,
WorkClaw,2026-6-20,https://www.producthunt.com/products/workclaw,https://www.workclaw.com,Sierra Li-Xing Bustos; Will Ruben; Ammon Brown,Product Hunt public launch-team/maker names; founder title not independently verified,support@workclaw.com,https://www.producthunt.com/products/workclaw,https://www.workclaw.com/contact; https://www.workclaw.com/sign-in?redirect_url=https%3A%2F%2Fwww.workclaw.com%2Fcontact-us; https://www.workclaw.com/sign-in?redirect_url=https%3A%2F%2Fwww.workclaw.com%2Fabout; https://www.workclaw.com/sign-in?redirect_url=https%3A%2F%2Fwww.workclaw.com%2Fabout-us; https://www.workclaw.com/sign-in?redirect_url=https%3A%2F%2Fwww.workclaw.com%2Fteam; https://www.workclaw.com/sign-in?redirect_url=https%3A%2F%2Fwww.workclaw.com%2Fcompany; https://www.workclaw.com/support; https://www.workclaw.com/sign-in?redirect_url=https%3A%2F%2Fwww.workclaw.com%2Fhelp; https://www.workclaw.com/sign-up?claw_card=team-assistant,
Reframe,2026-6-20,https://www.producthunt.com/products/reframe-7,https://myretromac.app/reframe,Maik Klotz,Product Hunt public launch-team/maker names; founder title not independently verified,info@klotzbrocken.de,https://www.producthunt.com/products/reframe-7,https://myretromac.app/contact,Email domain differs from the Product Hunt-listed site domain; verify parent-company relationship.
Slackbot’s MCP Client,2026-6-20,https://www.producthunt.com/products/slack,https://slack.com,Untal Hayat; Matt Wahl; Erin Woo,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/slack,https://slack.com/help/requests/new; https://slack.com/about; https://slack.com/help; https://slack.com/features/team-chat; https://slack.com/compare/slack-vs-teams,No qualifying public business/contact email was found on the crawled official-site pages.
Mellum by JetBrains,2026-6-20,https://www.producthunt.com/products/jetbrains,https://www.jetbrains.com,Ekaterina Prigara; Karan Sahani; Abhishek Gawande,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/jetbrains,https://www.jetbrains.com/company/; https://www.jetbrains.com/support/; https://www.jetbrains.com/help/,No qualifying public business/contact email was found on the crawled official-site pages.
pumaDB,2026-6-20,https://www.producthunt.com/products/pumadb,https://pumadb.ai,Stuart Sim,Product Hunt public launch-team/maker names; founder title not independently verified,hello@pumadb.ai; security@pumadb.ai; abuse@pumadb.ai,https://www.producthunt.com/products/pumadb,https://pumadb.ai,
Are you in the Weights?,2026-6-20,https://www.producthunt.com/products/are-you-in-the-weights,https://intheweights.com,Joey Flynn; Thomas Dimson,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/are-you-in-the-weights,https://intheweights.com/contact; https://intheweights.com/contact-us; https://intheweights.com/about; https://intheweights.com/about-us; https://intheweights.com/team; https://intheweights.com/company; https://intheweights.com/support; https://intheweights.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
Pixlie,2026-6-20,https://www.producthunt.com/products/pixlie,https://pixlys.com,Illia Ovcharenko,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/pixlie,https://pixlys.com/contact; https://pixlys.com/contact-us; https://pixlys.com/about; https://pixlys.com/about-us; https://pixlys.com/team; https://pixlys.com/company; https://pixlys.com/support; https://pixlys.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
Basedash Access Controls,2026-6-20; 2026-6-26; 2026-7-11; 2026-7-17; 2026-8-1; 2026-8-8,https://www.producthunt.com/products/basedash,https://www.basedash.com,Nathan Baschez,Official website founder-role or founded-by evidence,hello@basedash.com,https://www.basedash.com; https://www.producthunt.com/products/basedash,https://www.basedash.com,
Foyer,2026-6-20,https://www.producthunt.com/products/foyer-4,https://usefoyer.app,Florent Berrez,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/foyer-4,https://usefoyer.app/support/,No qualifying public business/contact email was found on the crawled official-site pages.
ReleaseDock,2026-6-20,https://www.producthunt.com/products/releasedock,https://www.releasedock.co,Siddhant Chaudhary,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/releasedock,https://www.releasedock.co/help; https://www.releasedock.co/products/support; https://www.releasedock.co/products/ai-support,No qualifying public business/contact email was found on the crawled official-site pages.
GitSync for macOS,2026-6-20,https://www.producthunt.com/products/gitsync-for-macos,https://github.com/KeepCoolCH/GitSync,Kevin Tobler,Product Hunt public launch-team/maker names; founder title not independently verified,git@github.com; u003egit@github.com,https://www.producthunt.com/products/gitsync-for-macos,https://support.github.com/request/landing; https://github.com/contact-us; https://github.com/about; https://github.com/about-us; https://github.com/team; https://github.com/company; https://github.com/enterprise/premium-support,
Cutio,2026-6-20,https://www.producthunt.com/products/cutio,https://cutio.dev,Dmitrii Brolnitskii,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/cutio,https://cutio.dev,No qualifying public business/contact email was found on the crawled official-site pages.
TokenOps by Lovie,2026-6-20,https://www.producthunt.com/products/tokenops-by-lovie,https://www.lovie.co/tokenops,Recep Demir; Sahin Boydas; William Min,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/tokenops-by-lovie,https://www.lovie.co/contact; https://www.lovie.co/contact-us; https://www.lovie.co/about; https://www.lovie.co/about-us; https://www.lovie.co/team; https://www.lovie.co/company; https://www.lovie.co/support; https://www.lovie.co/help,No qualifying public business/contact email was found on the crawled official-site pages.
Motions,2026-6-20,https://www.producthunt.com/products/motions,https://motions.build,Sharoz Javaid; Zakaria Drebi; Avron Pasag,Product Hunt public launch-team/maker names; founder title not independently verified,team@motions.build,https://www.producthunt.com/products/motions,https://motions.build/contact; https://motions.build/contact-us; https://motions.build/about; https://motions.build/about-us; https://motions.build/team; https://motions.build/company; https://motions.build/support; https://motions.build/help,
Whistling Citizen,2026-6-20,https://www.producthunt.com/products/whistling-citizen,https://whistlingcitizen.com,Whistling Citizen,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/whistling-citizen,https://whistlingcitizen.com/contact; https://whistlingcitizen.com/contact-us; https://whistlingcitizen.com/about; https://whistlingcitizen.com/about-us; https://whistlingcitizen.com/team; https://whistlingcitizen.com/company; https://whistlingcitizen.com/support; https://whistlingcitizen.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
Free AI Image Upscaler,2026-6-20,https://www.producthunt.com/products/azure-cosmos-db,https://ai-image-upscaler.eastus.cloudapp.azure.com,Not publicly identified in the captured Product Hunt page or official-site pages,No founder name found,,https://www.producthunt.com/products/azure-cosmos-db,https://ai-image-upscaler.eastus.cloudapp.azure.com,Official-site crawl status: no_url No qualifying public business/contact email was found on the crawled official-site pages.
Finsort,2026-6-20,https://www.producthunt.com/products/finsort,https://pond-audio-53787876.figma.site,Luka Tsartsidze,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/finsort,https://pond-audio-53787876.figma.site/contact; https://pond-audio-53787876.figma.site/contact-us; https://pond-audio-53787876.figma.site/about; https://pond-audio-53787876.figma.site/about-us; https://pond-audio-53787876.figma.site/team; https://pond-audio-53787876.figma.site/company; https://pond-audio-53787876.figma.site/support; https://pond-audio-53787876.figma.site/help,No qualifying public business/contact email was found on the crawled official-site pages.
Agent 37 Cloud,2026-6-21,https://www.producthunt.com/products/agent-37-38,https://www.agent37.com/cloud,Vishnu,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/agent-37-38,https://www.agent37.com/cloud,Official-site crawl status: no_url No qualifying public business/contact email was found on the crawled official-site pages.
Atomic Mail Agentic,2026-6-21,https://www.producthunt.com/products/atomic-mail-agentic,https://atomicmail.io/agents,Georgy P,Product Hunt public launch-team/maker names; founder title not independently verified,support@atomicmail.io,https://www.producthunt.com/products/atomic-mail-agentic,https://atomicmail.io/about-us; https://atomicmail.io/support,
Grok by SpaceXAI for Word,2026-6-21; 2026-7-27; 2026-8-9; 2026-8-12,https://www.producthunt.com/products/grok,https://x.com/i/grok,Parker Smith; Blake Williams; Andrei,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/grok,https://x.com/contact; https://x.com/contact-us; https://about.x.com/en; https://x.com/about-us; https://x.com/company; https://x.com/support,No qualifying public business/contact email was found on the crawled official-site pages.
Backgrind,2026-6-21,https://www.producthunt.com/products/backgrind,https://backgrind.com,Karol,Product Hunt public launch-team/maker names; founder title not independently verified,hello@backgrind.com,https://www.producthunt.com/products/backgrind,https://backgrind.com,
oioi,2026-6-21,https://www.producthunt.com/products/oioi,https://vishesh9131.github.io/oioi-site,Vishesh Yadav,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/oioi,https://vishesh9131.github.io/oioi-site,No qualifying public business/contact email was found on the crawled official-site pages.
Notchkin,2026-6-21,https://www.producthunt.com/products/notchkin,https://notchkin.app,Danny Stankowski,Product Hunt public launch-team/maker names; founder title not independently verified,whine@notchkin.app,https://www.producthunt.com/products/notchkin,https://notchkin.app,
Laguna by Poolside,2026-6-21,https://www.producthunt.com/products/poolside,https://poolside.ai,Jason Warner; Eiso Kant,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/poolside,https://poolside.ai/contact,No qualifying public business/contact email was found on the crawled official-site pages.
Cloudback MCP Server,2026-6-21,https://www.producthunt.com/products/cloudback,https://cloudback.it,Vladimir Solovev; Victor Vorobyev; Evgeniy,Product Hunt public launch-team/maker names; founder title not independently verified,support@cloudback.it,https://www.producthunt.com/products/cloudback,https://cloudback.it/contact,
Plansera AI,2026-6-21,https://www.producthunt.com/products/plansera-ai,https://plansera.ai,Daniel Aydin,Product Hunt public launch-team/maker names; founder title not independently verified,hello@plansera.ai,https://www.producthunt.com/products/plansera-ai,https://plansera.ai/about,
Beacon,2026-6-21,https://www.producthunt.com/products/beacon-23,https://beacon.forgefastlabs.com,Samarth Kapoor; Aryan Madolkar; Aryan,Product Hunt public launch-team/maker names; founder title not independently verified,founders@beacon.forgefastlabs.com,https://www.producthunt.com/products/beacon-23,https://beacon.forgefastlabs.com,
Property Alpha,2026-6-21,https://www.producthunt.com/products/property-alpha,https://propertyalpha.ai,Antonio Martinez; Austin Childs,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/property-alpha,https://propertyalpha.ai,No qualifying public business/contact email was found on the crawled official-site pages.
AlsonAI is launching Editor Mode,2026-6-21; 2026-7-12,https://www.producthunt.com/products/alsonai,https://alson.ai,Nafisa M.,Product Hunt public launch-team/maker names; founder title not independently verified,support@alson.ai,https://www.producthunt.com/products/alsonai,https://alson.ai/about-us,
snowscroll,2026-6-21,https://www.producthunt.com/products/snowscroll,https://snowscroll.com,Jun Nam,Product Hunt public launch-team/maker names; founder title not independently verified,support@snowscroll.com; jun@snowscroll.com,https://www.producthunt.com/products/snowscroll,https://snowscroll.com/about; https://snowscroll.com/support,
Our Family Habits App,2026-6-21,https://www.producthunt.com/products/our-family-habits,https://www.ourfamilyhabits.com,Jon Horton,Product Hunt public launch-team/maker names; founder title not independently verified,hello@ourfamilyhabits.com,https://www.producthunt.com/products/our-family-habits,https://www.ourfamilyhabits.com/contact; https://www.ourfamilyhabits.com/about,
Mira Gold's Writing Forge™,2026-6-21,https://www.producthunt.com/products/mira-gold-s-writing-forge,https://miragoldswritingforge.com/landing,Mira Gold,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/mira-gold-s-writing-forge,https://miragoldswritingforge.com/contact; https://miragoldswritingforge.com/contact-us; https://miragoldswritingforge.com/about; https://miragoldswritingforge.com/about-us; https://miragoldswritingforge.com/team; https://miragoldswritingforge.com/company; https://miragoldswritingforge.com/support; https://miragoldswritingforge.com/help,No qualifying public business/contact email was found on the crawled official-site pages.
WaitWage,2026-6-21,https://www.producthunt.com/products/waitwage,https://waitwage.com,Siddhanth Kapoor; Tanish Kothari,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/waitwage,https://www.waitwage.com/about,No qualifying public business/contact email was found on the crawled official-site pages.
Botacts,2026-6-21,https://www.producthunt.com/products/botacts,https://botacts.com,Christoph Hartmann,Product Hunt public launch-team/maker names; founder title not independently verified,christoph@botacts.com,https://www.producthunt.com/products/botacts,https://botacts.com/contact,
Skybridge,2026-6-22,https://www.producthunt.com/products/skybridge,https://www.skybridge.tech,Paul Leseute; Erica Beavers; Nikolay Rodionov,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/skybridge,https://www.skybridge.tech,No qualifying public business/contact email was found on the crawled official-site pages.
AgentX,2026-6-22,https://www.producthunt.com/products/agentx,https://www.agentx.so,Mengmeng Chen; Sebastian Mul; Marcin Michalak,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/agentx,https://www.agentx.so/contact,No qualifying public business/contact email was found on the crawled official-site pages.
readywhen,2026-6-22,https://www.producthunt.com/products/readywhen,https://www.readywhen.ai,Huw Slater; Sancar,Product Hunt public launch-team/maker names; founder title not independently verified,hello@readywhen.ai,https://www.producthunt.com/products/readywhen,https://www.readywhen.ai/contact,
HAQQ Legal AI on Mobile,2026-6-22,https://www.producthunt.com/products/haqq-mobile-app,https://haqq.ai/mobile-app,Abbas Kabalan CLO,Official website founder-role or founded-by evidence,careers@haqq.ai; info@haqq.ai; press@haqq.ai; sales@haqq.ai; support@haqq.ai; growth@haqq.ai,https://haqq.ai/mobile-app; https://www.producthunt.com/products/haqq-mobile-app,https://www.haqq.ai/contact; https://www.haqq.ai/team; https://www.haqq.ai/support,
Alai 2.0,2026-6-22,https://www.producthunt.com/products/alai,https://getalai.com,Siddharth Thorat; aakash rodrigues; Shreesh Kuliyal,Product Hunt public launch-team/maker names; founder title not independently verified,founders@getalai.com,https://www.producthunt.com/products/alai,https://getalai.com,
Cloudflare Temporary Accounts,2026-6-22; 2026-7-11; 2026-8-5; 2026-8-6; 2026-8-7,https://www.producthunt.com/products/cloudflare,http://www.cloudflare.com,Luís Duarte; Rui Figueira; Celso Martinho,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/cloudflare,https://www.cloudflare.com/contact-us/; https://www.cloudflare.com/about/; https://www.cloudflare.com/resource/contact-enterprise-sales/,No qualifying public business/contact email was found on the crawled official-site pages.
uwait,2026-6-22,https://www.producthunt.com/products/uwait,https://www.uwait.co,Tristan Berguer,Official website founder-role or founded-by evidence,app@uwait.co,https://www.uwait.co; https://www.producthunt.com/products/uwait,https://www.uwait.co/en/contact; https://www.uwait.co/en/contact-us; https://www.uwait.co/en/about; https://www.uwait.co/en/about-us; https://www.uwait.co/en/team; https://www.uwait.co/en/company; https://www.uwait.co/en/support; https://www.uwait.co/en/help,
